city,latitude,longitude,coastal,total_population,population_density_km2,land_area_km2,elevation_meters,ave_june_temp_celsius,continent,
honolulu,21.30694,-157.85833,yes,337256,2236,177.2,,,oceania,17.4832175
baltimore,39.29038,-76.61219,yes,620961,2919,210,,,north_america,-1.283655495
doha,25.27932,51.52245,yes,1351000,10000,132,,,middle_east,-2.294596595
paris,48.85341,2.3488,no,2206488,21000,105,,,europe,-0.067437484
auckland,-36.86667,174.76667,yes,1628900,1500,1102,,,oceania,1.479526061
brisbane,-27.46794,153.02809,yes,2408223,148,15842,,,oceania,-2.641242111
hamilton,-37.78333,175.28333,no,203100,230,877,,,oceania,-0.684391925
minneapolis,44.97997,-93.26384,no,382578,2959,151,,,north_america,16.78899466
naples,40.85631,14.24641,yes,967068,8200,117,,,europe,-0.792912184
vienna,48.20849,16.37208,no,1899055,4326,395,,,europe,-10.01998362
bogota,4.60971,-74.08175,no,8080734,,1587,,,south_america,-100
montevideo,-34.90328,-56.18816,yes,1719453,6726,201,,,south_america,-21.37464647
sao_paulo,-23.5475,-46.63611,,,,,,,south_america,#DIV/0!
kuala_lumpur,3.1412,101.68653,,,,,,,east_asia,#DIV/0!
santiago,-33.45694,-70.64827,no,6310000,9821,641,,,south_america,-0.233581616
lisbon,38.75382,-9.23083,yes,505526,,100,,,europe,-100
san_francisco,37.77493,-122.41942,,,,,,,north_america,-0.122650578
sendai,38.25759,140.8667,yes,1086012,1380,786,,,east_asia,8.377493097
rio_de_janeiro,-22.90278,-43.2075,,,,,,,south_america,#DIV/0!
sacramento,38.58157,-121.4944,no,466488,1952,259,,,north_america,#REF!
berlin,52.52437,13.41053,no,3711930,4200,891,,,europe,0.81547874
denver,39.73915,-104.9847,no,600158,1745,401,1600,,north_america,16.59346372
stockholm,59.33258,18.0649,yes,960031,5100,188,,,europe,-0.128225026
kyiv,50.45466,30.5238,no,2900920,3299,839,179,,europe,-4.586786261
seoul,37.566,126.9784,no,9838892,16000,605,38,,east_asia,-1.614937942
taipei,25.04776,121.53185,yes,8500000,7500,1140,,,east_asia,0.588235294
barcelona,41.38879,2.15899,yes,1620809,16000,101,,,europe,-0.296703683
fairbanks,64.83778,-147.71639,no,51926,388,82,,,north_america,-38.72819012
oslo,59.91273,10.74609,,,,,,,europe,#DIV/0!
porto,41.14961,-8.61099,,,,,,,north_america,#DIV/0!
tokyo,35.6895,139.69171,,,,,,,east_asia,#DIV/0!
ilorin,8.49664,4.54214,,,,,,,sub_saharan_africa,#DIV/0!
singapore,1.28967,103.85007,,,,,,,east_asia,#DIV/0!
new_york_city,40.71427,-74.00597,,,,,,,north_america,#DIV/0!
london,51.50853,-0.12574,,,,,,,europe,#DIV/0!
hong_kong,22.28552,114.15769,,,,,,,east_asia,#DIV/0!
