ha_id,barcode,plate_pos
4959-DB-0704,232019290,C08
4959-DB-0729,232019291,E09
4959-DB-0306,232019292,B06
4959-DB-0305,232019300,B05
4959-DB-0738,232019302,F06
4959-DB-0365,232019304,G05
4959-DB-0353,232019308,F05
4959-DB-0752,232019310,G08
4959-DB-0680,232019312,A08
4959-DB-0341,232019313,E05
4959-DB-0705,232019315,C09
4959-DB-0750,232019316,G06
4959-DB-0318,232019318,C06
4959-DB-0703,232019320,C07
4959-DB-0293,232019323,A05
4959-DB-0332,232019324,D08
4959-DB-0716,232019325,D08
4959-DB-0377,232019326,H05
4959-DB-0741,232019327,F09
4959-DB-0763,232019328,H07
4959-DB-0717,232019330,D09
4959-DB-0295,232019331,A07
4959-DB-0715,232019332,D07
4959-DB-0679,232019333,A07
4959-DB-0218,232020775,C02
4959-DB-0225,232020778,C09
4959-DB-0012,232020779,A12
4959-DB-0356,232020780,F08
4959-DB-0344,232020781,E08
4959-DB-0230,232020782,D02
4959-DB-0254,232020788,F02
4959-DB-0379,232020791,H07
4959-DB-0241,232020793,E01
4959-DB-0208,232020794,B04
4959-DB-0265,232020795,G01
4959-DB-0232,232020796,D04
4959-DB-0220,232020801,C04
4959-DB-0217,232020802,C01
4959-DB-0048,232020816,D12
4959-DB-0355,232020820,F07
4959-DB-0084,232020821,G12
4959-DB-0590,232020822,B02
4959-DB-0255,232020826,F03
4959-DB-0614,232020828,D02
4959-DB-0197,232020829,A05
4959-DB-0110,232020833,B02
4959-DB-0770,232020839,A02
4959-DB-0223,232020840,C07
4959-DB-0196,232020844,A04
4959-DB-0652,232020850,G04
4959-DB-0213,232020852,B09
4959-DB-0257,232020855,F05
4959-DB-0261,232020861,F09
4959-DB-0247,232020866,E07
4959-DB-0591,232020868,B03
4959-DB-0203,232020869,A11
4959-DB-0773,232021339,A05
4959-DB-0384,232021446,H12
4959-DB-0237,232021455,D09
4959-DB-0244,232021456,E04
4959-DB-0249,232021457,E09
4959-DB-0133,232021461,D01
4959-DB-0235,232021466,D07
4959-DB-0269,232021473,G05
4959-DB-0284,232021474,H08
4959-DB-0036,232021478,C12
4959-DB-0214,232021489,B10
4959-DB-0772,232021491,A04
4959-DB-0193,232021493,A01
4959-DB-0262,232021497,F10
4959-DB-0242,232021499,E02
4959-DB-0663,232021500,H03
4959-DB-0282,232021502,H06
4959-DB-0270,232021503,G06
4959-DB-0642,232021512,F06
4959-DB-0072,232021513,F12
4959-DB-0343,232021515,E07
4959-DB-0294,232021517,A06
4959-DB-0206,232021522,B02
4959-DB-0236,232021524,D08
4959-DB-0777,232021526,A09
4959-DB-0268,232021528,G04
4959-DB-0234,232021530,D06
4959-DB-0253,232021533,F01
4959-DB-0776,232021534,A08
4959-DB-0239,232021535,D11
4959-DB-0122,232021536,C02
4959-DB-0330,232021537,D06
4959-DB-0396,232021641,A12
4959-DB-0693,232021648,B09
4959-DB-0762,232021655,H06
4959-DB-0296,232021659,A08
4959-DB-0419,232021671,C11
4959-DB-0444,232021696,E12
4959-DB-0432,232021720,D12
4959-DB-0479,232021723,H11
4959-DB-0408,232021730,B12
4959-DB-0407,232021862,B11
4959-DB-0395,232021883,A11
4959-DB-0443,232021890,E11
4959-DB-0105,232021924,A09
4959-DB-0307,232021926,B07
4959-DB-0354,232021930,F06
4959-DB-0775,232021933,A07
4959-DB-0653,232021934,G05
4959-DB-0367,232021935,G07
4959-DB-0286,232021940,H10
4959-DB-0024,232021942,B12
4959-DB-0134,232021943,D02
4959-DB-0287,232021946,H11
4959-DB-0212,232021953,B08
4959-DB-0210,232021954,B06
4959-DB-0285,232021955,H09
4959-DB-0765,232021960,H09
4959-DB-0227,232021977,C11
4959-DB-0764,232021979,H08
4959-DB-0204,232021981,A12
4959-DB-0728,232021988,E08
4959-DB-0097,232021993,A01
4959-DB-0753,232022000,G09
4959-DB-0774,232022002,A06
4959-DB-0258,232022004,F06
4959-DB-0246,232022007,E06
4959-DB-0263,232022010,F11
4959-DB-0273,232022013,G09
4959-DB-0769,232022014,A01
4959-DB-0278,232022015,H02
4959-DB-0629,232022016,E05
4959-DB-0157,232022019,F01
4959-DB-0308,232022020,B08
4959-DB-0279,232022031,H03
4959-DB-0721,232022131,E01
4959-DB-0757,232022139,H01
4959-DB-0392,232022140,A08
4959-DB-0722,232022169,E02
4959-DB-0673,232022170,A01
4959-DB-0674,232022175,A02
4959-DB-0734,232022182,F02
4959-DB-0430,232022199,D10
4959-DB-0710,232022207,D02
4959-DB-0118,232022600,B10
4959-DB-0187,232022601,H07
4959-DB-0128,232022607,C08
4959-DB-0120,232022618,B12
4959-DB-0103,232022637,A07
4959-DB-0186,232022653,H06
4959-DB-0129,232022658,C09
4959-DB-0104,232022668,A08
4959-DB-0140,232022673,D08
4959-DB-0174,232022678,G06
4959-DB-0150,232022689,E06
4959-DB-0116,232022692,B08
4959-DB-0131,232023003,C11
4959-DB-0139,232023004,D07
4959-DB-0162,232023063,F06
4959-DB-0115,232023064,B07
4959-DB-0130,232023066,C10
4959-DB-0127,232023074,C07
4959-DB-0179,232023196,G11
4959-DB-0143,232023204,D11
4959-DB-0156,232023206,E12
4959-DB-0167,232023208,F11
4959-DB-0141,232023224,D09
4959-DB-0189,232023235,H09
4959-DB-0176,232023240,G08
4959-DB-0178,232023243,G10
4959-DB-0107,232023245,A11
4959-DB-0166,232023250,F10
4959-DB-0190,232023253,H10
4959-DB-0191,232023255,H11
4959-DB-0152,232023265,E08
4959-DB-0685,232023278,B01
4959-DB-0466,232023281,G10
4959-DB-0686,232023283,B02
4959-DB-0697,232023307,C01
4959-DB-0698,232023324,C02
4959-DB-0709,232023349,D01
4959-DB-0745,232023354,G01
4959-DB-0390,232023359,A06
4959-DB-0478,232023363,H10
4959-DB-0733,232023365,F01
4959-DB-0467,232023588,G11
4959-DB-0420,232023592,C12
4959-DB-0455,232023599,F11
4959-DB-0132,232023608,C12
4959-DB-0480,232023620,H12
4959-DB-0119,232023622,B11
4959-DB-0456,232023642,F12
4959-DB-0468,232027246,G12
4959-DB-0431,232027278,D11
4959-DB-0144,232032781,D12
4959-DB-0165,232032793,F09
4959-DB-0154,232032798,E10
4959-DB-0117,232032801,B09
4959-DB-0108,232032806,A12
4959-DB-0142,232032807,D10
4959-DB-0188,232032820,H08
4959-DB-0168,232032829,F12
4959-DB-0155,232032831,E11
4959-DB-0163,232032833,F07
4959-DB-0153,232032835,E09
4959-DB-0177,232032844,G09
4959-DB-0175,232032848,G07
4959-DB-0151,232032852,E07
4959-DB-0164,232032859,F08
4959-DB-0106,232032860,A10
4959-DB-0211,232034694,B07
4959-DB-0209,232034697,B05
4959-DB-0272,232034698,G08
4959-DB-0199,232034710,A07
4959-DB-0198,232034715,A06
4959-DB-0216,232034716,B12
4959-DB-0083,232034722,G11
4959-DB-0215,232034728,B11
4959-DB-0224,232034730,C08
4959-DB-0248,232034733,E08
4959-DB-0771,232034738,A03
4959-DB-0202,232034740,A10
4959-DB-0146,232034742,E02
4959-DB-0602,232034743,C02
4959-DB-0665,232034765,H05
