Sample_ID,Sample_Number,Date_Collected,Sample_Collector_Name,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average Ridership (2016),Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature_C,,
CSD16-BOS-001,1,6/21/16,team1,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.39595722,-71.1411093,Touchscreen,coated_glass,24.77777778,,
CSD16-BOS-002,2,6/21/16,team1,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.39595722,-71.1411093,TicketMachine_Side,,,,
CSD16-BOS-003,3,6/21/16,team1,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.39597939,-71.1411176,Touchscreen,coated_glass,,,
CSD16-BOS-004,4,6/21/16,team1,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.39597939,-71.1411176,TicketMachine_Side,,,,
CSD16-BOS-005,5,6/21/16,team1,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.39594171,-71.14117241,Touchscreen,coated_glass,,,
CSD16-BOS-006,6,6/21/16,team1,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.39623026,-71.14121826,TicketMachine_Side,,,,
CSD16-BOS-007,7,6/21/16,team1,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.39609376,-71.14107409,Touchscreen,coated_glass,,,
CSD16-BOS-008,8,6/21/16,team1,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.39607067,-71.14125473,TicketMachine_Side,,,,
CSD16-BOS-009,9,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.39597382,-71.14119588,Seat,polyester ,,,
CSD16-BOS-010,10,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.39597382,-71.14119588,Seat,polyester ,,,
CSD16-BOS-011,11,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.39597382,-71.14119588,Seat,polyester ,,,
CSD16-BOS-012,12,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.39597382,-71.14119588,Seat,polyester ,,,
CSD16-BOS-013,13,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.39134761,-71.13255705,Grip,polyvinyl chloride,,,
CSD16-BOS-014,14,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.39597382,-71.14119588,Grip,polyvinyl chloride,,,
CSD16-BOS-015,15,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.39597382,-71.14119588,Grip,polyvinyl chloride,,,
CSD16-BOS-016,16,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.39121607,-71.13231142,Grip,polyvinyl chloride,,,
CSD16-BOS-017,17,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.3611188,-71.07116274,Wall,"engineered wood, extruded thermoplastic, fiber-reinforced plastic, aluminum honeycomb panel, melamine-finished aluminum panels reinforced with Kevlar",,,
CSD16-BOS-018,18,6/21/16,team1,USA,Massachusetts,boston,subway_car,,Red,,42.36114713,-71.07103013,Wall,"engineered wood, extruded thermoplastic, fiber-reinforced plastic, aluminum honeycomb panel, melamine-finished aluminum panels reinforced with Kevlar",,,
CSD16-BOS-019,19,6/21/16,team1,USA,Massachusetts,boston,subway_station,Park,Red/Green,,42.36073134,-71.06936413,Touchscreen,coated_glass,,,
CSD16-BOS-020,20,6/21/16,team1,USA,Massachusetts,boston,subway_station,Park,Red/Green,,42.36073134,-71.06936413,TicketMachine_Side,,,,
CSD16-BOS-021,21,6/21/16,team1,USA,Massachusetts,boston,subway_station,Park,Red/Green,,42.3563484,-71.06242795,Touchscreen,coated_glass,,,
CSD16-BOS-022,22,6/21/16,team1,USA,Massachusetts,boston,subway_station,Park,Red/Green,,42.35630289,-71.06241903,TicketMachine_Side,,,,
CSD16-BOS-023,23,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37107252,-71.07721682,Seat,polyester ,,,
CSD16-BOS-024,24,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37106913,-71.07726116,Seat,polyester ,,,
CSD16-BOS-025,25,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37106913,-71.07726116,Seat,polyester ,,,
CSD16-BOS-026,26,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37104109,-71.07731053,Seat,polyester ,,,
CSD16-BOS-027,27,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37106569,-71.07731371,Grip,polyvinyl chloride,,,
CSD16-BOS-028,28,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37106569,-71.07731371,Grip,polyvinyl chloride,,,
CSD16-BOS-029,29,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37106569,-71.07731371,Grip,polyvinyl chloride,,,
CSD16-BOS-030,30,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37106569,-71.07731371,Grip,polyvinyl chloride,,,
CSD16-BOS-031,31,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37106569,-71.07731371,Wall,"engineered wood, extruded thermoplastic, fiber-reinforced plastic, aluminum honeycomb panel, melamine-finished aluminum panels reinforced with Kevlar",,,
CAD16-BOS-032,32,6/21/16,team1,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37106569,-71.07731371,Wall,"engineered wood, extruded thermoplastic, fiber-reinforced plastic, aluminum honeycomb panel, melamine-finished aluminum panels reinforced with Kevlar",,,
CSD16-BOS-033,33,6/21/16,team2,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.3961171,-71.1411509,Touchscreen,coated_glass,,,
CSD16-BOS-034,34,6/21/16,team2,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.3949070476649 ,-71.14098072,TicketMachine_Side,,,,
CSD16-BOS-035,35,6/21/16,team2,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.3961187,-71.1410599,Touchscreen,coated_glass,,,
CSD16-BOS-036,36,6/21/16,team2,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.3960197,-71.1411263,TicketMachine_Side,,,,
CSD16-BOS-037,37,6/21/16,team2,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.3955522,-71.142516,Touchscreen,coated_glass,,,
