city,barcode,setting,ground_level,traffic,latitude,longitude,material,sample_place,,
baltimore,235161834,urban,under_ground,,39.289523,-76.613904,other,handrail,,
baltimore,235182323,urban,under_ground,moderate,39.289531,-76.61394,metal_plastic,sensor,,
baltimore,235161828,urban,under_ground,moderate,39.289507,-76.613877,metal_plastic,ticket_machine,,
baltimore,235162078,urban,under_ground,moderate/high,39.292727,-76.621246,plastic,seat,,
baltimore,235183972,urban,under_ground,,39.292728,-76.621243,other,handrail,,
baltimore,235162501,urban,under_ground,moderate,39.292761,-76.621264,metal_plastic,sensor,,
baltimore,235162246,urban,under_ground,moderate,39.292761,-76.621243,metal_plastic,ticket_machine,,
baltimore,235161862,urban,under_ground,moderate,39.302143,-76.624183,plastic,seat,,
baltimore,235163680,urban,under_ground,low,39.302161,-76.62422,other,handrail,,
baltimore,235162268,urban,under_ground,low,39.302161,-76.62422,metal_plastic,sensor,,
baltimore,235162503,urban,under_ground,low,39.302151,-76.624186,metal_plastic,ticket_machine,,
baltimore,235162583,urban,under_ground,,39.304368,-76.635684,plastic,seat,,
baltimore,235162566,urban,under_ground,,39.304376,-76.635687,other,handrail,,
baltimore,235162562,urban,under_ground,light,39.304376,-76.635687,metal_plastic,sensor,,
baltimore,235162500,urban,under_ground,light,39.304376,-76.635687,metal_plastic,ticket_machine,,
baltimore,235162506,urban,under_ground,moderate,39.310029,-76.642478,plastic,seat,,
baltimore,235161830,urban,under_ground,moderate,39.310038,-76.642467,other,handrail,,
baltimore,235162517,urban,under_ground,moderate,39.31003,-76.642508,metal_plastic,sensor,,
baltimore,235161837,urban,under_ground,moderate,39.310046,-76.642486,metal_plastic,ticket_machine,,
baltimore,235163080,urban,under_ground,,39.317807,-76.652563,metal,handrail,,
baltimore,235163094,urban,under_ground,,39.317811,-76.652554,plastic,seat,,
baltimore,235162051,urban,under_ground,,39.317807,-76.652563,other,handrail,,
baltimore,235164014,urban,under_ground,moderate,39.317815,-76.652563,metal_plastic,sensor,,
baltimore,235162561,urban,above_ground_open,,39.336273,-76.672401,metal,handrail,,
baltimore,235161892,urban,under_ground,moderate,39.317799,-76.652563,metal_plastic,ticket_machine,,
baltimore,235163091,urban,above_ground_open,,39.336256,-76.67239,other,handrail,,
baltimore,235163337,urban,above_ground_open,,39.336265,-76.672401,plastic,seat,,
baltimore,235161885,urban,above_ground_open,,39.336256,-76.67239,metal_plastic,sensor,,
baltimore,235161886,urban,above_ground_open,,39.336273,-76.672401,metal_plastic,ticket_machine,,
baltimore,235161861,urban,above_ground_open,,39.344803,-76.691946,metal,handrail,,
baltimore,235163340,urban,above_ground_open,,39.344803,-76.691903,plastic,seat,,
baltimore,235162076,urban,above_ground_open,,39.344803,-76.691885,other,handrail,,
baltimore,235162050,urban,above_ground_open,,39.344819,-76.691895,metal_plastic,sensor,,
baltimore,235162530,urban,above_ground_open,,39.344811,-76.691895,metal_plastic,ticket_machine,,
baltimore,235162543,urban,above_ground_open,,39.351923,-76.704686,metal,handrail,,
baltimore,235162560,urban,above_ground_open,,39.351938,-76.704692,plastic,seat,,
baltimore,235162499,urban,above_ground_open,,39.351921,-76.704695,other,handrail,,
baltimore,235163971,urban,above_ground_open,,39.351921,-76.704689,metal_plastic,sensor,,
baltimore,235162095,urban,above_ground_open,,39.35193,-76.704689,metal_plastic,ticket_machine,,
baltimore,235183990,urban,above_ground_open,,39.359628,-76.7206,plastic,floor,,
baltimore,235161915,urban,above_ground_open,,39.359636,-76.72059,plastic,seat,,
baltimore,235161831,urban,above_ground_open,,39.359654,-76.720629,other,handrail,,
baltimore,235184895,urban,above_ground_open,,39.359636,-76.720611,metal_plastic,sensor,,
baltimore,235163331,urban,above_ground_open,,39.35962,-76.720579,metal_plastic,ticket_machine,,
baltimore,235162553,urban,above_ground_open,,39.371282,-76.744129,other,floor,,
baltimore,235162026,urban,above_ground_open,,39.371282,-76.744107,plastic,seat,,
baltimore,235164012,urban,above_ground_open,,39.371274,-76.744118,other,handrail,,
baltimore,235161864,urban,above_ground_open,,39.371299,-76.744182,metal_plastic,sensor,,
baltimore,235163322,urban,above_ground_open,,39.371286,-76.744117,metal_plastic,ticket_machine,,
baltimore,235162105,urban,above_ground_open,,39.407353,-76.780024,other,handrail,,
