INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND_OUTBOUND_METADATA,OUTBOUND,OUTBOUND,OUTBOUND,METADATA
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__A01,in_house_negative_controls_and_1_positive_control___inbound,A01,235159589,\N,\N,\N,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__A02,in_house_negative_controls_and_1_positive_control___inbound,A02,235078676,\N,\N,\N,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__E02,in_house_negative_controls_and_1_positive_control___inbound,E02,235082297,\N,\N,\N,\N
inbound_20,inbound_20___hawaii_and_singapore__A08,inbound_20___hawaii_and_singapore,A08,235030413,\N,\N,\N,\N
inbound_20,inbound_20___hawaii_and_singapore__B08,inbound_20___hawaii_and_singapore,B08,235030398,\N,\N,\N,\N
inbound_20,inbound_20___hawaii_and_singapore__C08,inbound_20___hawaii_and_singapore,C08,235030368,\N,\N,\N,\N
inbound_20,inbound_20___hawaii_and_singapore__F02,inbound_20___hawaii_and_singapore,F02,235030386,\N,\N,\N,\N
inbound_20,inbound_20___hawaii_and_singapore__G02,inbound_20___hawaii_and_singapore,G02,235030383,\N,\N,\N,\N
inbound_20,inbound_20___hawaii_and_singapore__H02,inbound_20___hawaii_and_singapore,H02,235030365,\N,\N,\N,\N
control,negative_controls_inbound__A01,negative_controls_inbound,A01,235030389,\N,\N,\N,\N
control,negative_controls_inbound__A02,negative_controls_inbound,A02,235030394,\N,\N,\N,\N
control,negative_controls_inbound__B01,negative_controls_inbound,B01,235030342,\N,\N,\N,\N
control,negative_controls_inbound__B04,negative_controls_inbound,B04,235030377,\N,\N,\N,\N
control,negative_controls_inbound__C04,negative_controls_inbound,C04,235030369,\N,\N,\N,\N
control,negative_controls_inbound__D01,negative_controls_inbound,D01,235030419,\N,\N,\N,\N
control,negative_controls_inbound__D03,negative_controls_inbound,D03,235030362,\N,\N,\N,\N
control,negative_controls_inbound__D04,negative_controls_inbound,D04,235030379,\N,\N,\N,\N
control,negative_controls_inbound__E01,negative_controls_inbound,E01,235030405,\N,\N,\N,\N
control,negative_controls_inbound__F01,negative_controls_inbound,F01,235030416,\N,\N,\N,\N
control,negative_controls_inbound__F05,negative_controls_inbound,F05,235030358,\N,\N,\N,\N
control,negative_controls_inbound__G01,negative_controls_inbound,G01,235030408,\N,\N,\N,\N
control,negative_controls_inbound__G05,negative_controls_inbound,G05,235030328,\N,\N,\N,\N
control,negative_controls_inbound__H01,negative_controls_inbound,H01,235030390,\N,\N,\N,\N
control,negative_controls_inbound__H05,negative_controls_inbound,H05,235030340,\N,\N,\N,\N
inbound_20,inbound_20___hawaii_and_singapore__A12,inbound_20___hawaii_and_singapore,A12,235162102,antarctica__G01,Antarctica,USA,\N
inbound_20,inbound_20___hawaii_and_singapore__B12,inbound_20___hawaii_and_singapore,B12,235163740,antarctica__H01,Antarctica,USA,\N
inbound_20,inbound_20___hawaii_and_singapore__C12,inbound_20___hawaii_and_singapore,C12,235161906,antarctica__E01,Antarctica,USA,\N
inbound_20,inbound_20___hawaii_and_singapore__D12,inbound_20___hawaii_and_singapore,D12,235164025,antarctica__F01,Antarctica,USA,\N
inbound_20,inbound_20___hawaii_and_singapore__H12,inbound_20___hawaii_and_singapore,H12,235161985,antarctica__A01,Antarctica,USA,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__B01,in_house_negative_controls_and_1_positive_control___inbound,B01,235162224,baltrimore_1__H07,Baltimore,USA,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__C01,in_house_negative_controls_and_1_positive_control___inbound,C01,235163966,baltrimore_1__H08,Baltimore,USA,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__D01,in_house_negative_controls_and_1_positive_control___inbound,D01,235163072,baltrimore_1__H11,Baltimore,USA,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__E01,in_house_negative_controls_and_1_positive_control___inbound,E01,235161887,baltrimore_1__H09,Baltimore,USA,\N
