Sample Name,Kind,Barcode
4959-DB-0001,CTRL cities,235030389
4959-DB-0002,CTRL cities,235030394
4959-DB-0003,CTRL cities,235030857
4959-DB-0004,CTRL cities,235030381
4959-DB-0005,CTRL cities,235030399
4959-DB-0006,Dry tube,235159589
4959-DB-0007,Dry tube & swab,235163072
4959-DB-0008,Tube & RNA/DNA out,235196487
4959-DB-0009,Tube & RNA/DNA out & swab,235196528
,,No Read
,,No Read
,,No Read
4959-DB-0010,CTRL cities,235030342
4959-DB-0011,CTRL cities,232022192
4959-DB-0012,CTRL cities,235030871
4959-DB-0013,CTRL cities,235030377
4959-DB-0014,CTRL cities,235030410
4959-DB-0015,Dry tube,235162224
4959-DB-0016,Dry tube & swab,235161887
4959-DB-0017,Tube & RNA/DNA out,232022683
4959-DB-0018,Tube & RNA/DNA out & swab,232021956
,,No Read
,,No Read
,,No Read
4959-DB-0019,CTRL cities,235030337
4959-DB-0020,CTRL cities,235030406
4959-DB-0021,CTRL cities,235030885
4959-DB-0022,CTRL cities,235030369
4959-DB-0023,CTRL cities,235030376
4959-DB-0024,Dry tube,235163966
4959-DB-0025,Dry tube & swab,235162222
4959-DB-0026,Tube & RNA/DNA out,235078676
4959-DB-0027,Tube & RNA/DNA out & swab,232021998
,,No Read
,,No Read
,,No Read
4959-DB-0028,CTRL cities,235030419
4959-DB-0029,CTRL cities,235030388
4959-DB-0030,CTRL cities,235030362
4959-DB-0031,CTRL cities,235030379
4959-DB-0032,CTRL cities,235030370
4959-DB-0033,PosZymo,235082297
4959-DB-0034,H1,No Read
4959-DB-0035,H2,No Read
4959-DB-0036,H3,No Read
,,No Read
,,No Read
,,No Read
4959-DB-0037,CTRL cities,235030405
4959-DB-0038,CTRL cities,235030400
4959-DB-0039,CTRL cities,235030380
4959-DB-0040,CTRL cities,235029400
4959-DB-0041,CTRL cities,235030378
4959-DB-0042,H4,No Read
4959-DB-0043,H5,No Read
4959-DB-0044,H7,No Read
4959-DB-0045,H1 Choco,No Read
,,No Read
,,No Read
,,No Read
4959-DB-0046,CTRL cities,235030416
4959-DB-0047,CTRL cities,235030393
4959-DB-0048,CTRL cities,235030355
4959-DB-0049,CTRL cities,235030357
4959-DB-0050,CTRL cities,235030358
4959-DB-0051,H1 Blood,No Read
4959-DB-0052,H2 Choco,No Read
4959-DB-0053,H2 Blood,No Read
4959-DB-0054,H3 Choco,No Read
,,No Read
,,No Read
,,No Read
4959-DB-0055,CTRL cities,235030408
4959-DB-0056,CTRL cities,235030417
4959-DB-0057,CTRL cities,235030366
4959-DB-0058,CTRL cities,235030361
4959-DB-0059,CTRL cities,235030328
4959-DB-0060,H3 Blood,No Read
4959-DB-0061,H4 Blood,No Read
4959-DB-0062,H5 Choco,No Read
4959-DB-0063,H5 Blood,No Read
,,No Read
,,No Read
,,No Read
4959-DB-0064,CTRL cities,235030390
4959-DB-0065,CTRL cities,235030411
4959-DB-0066,CTRL cities,235030412
4959-DB-0067,CTRL cities,235030392
4959-DB-0068,CTRL cities,235030340
4959-DB-0069,H7 Choco,No Read
4959-DB-0070,H7 Blood,No Read
