Sample_Name,Plate,Plate_Position,UK,clean_plate_num,Name
A_D1,Plate_0004,A01,P4A01,P4A1,5106-CEM-0221
A_D2,Plate_0004,A02,P4A02,P4A2,5106-CEM-0222
A_D3,Plate_0004,A03,P4A03,P4A3,5106-CEM-0223
A_D4,Plate_0004,A04,P4A04,P4A4,5106-CEM-0224
A_D5,Plate_0004,A05,P4A05,P4A5,5106-CEM-0225
A_D6,Plate_0004,A06,P4A06,P4A6,5106-CEM-0226
A_D7,Plate_0004,A07,P4A07,P4A7,5106-CEM-0227
A_D8,Plate_0004,A08,P4A08,P4A8,5106-CEM-0228
A_D9,Plate_0004,A09,P4A09,P4A9,5106-CEM-0229
A_D10,Plate_0004,A10,P4A10,P4A10,5106-CEM-0230
A_D11,Plate_0004,A11,P4A11,P4A11,5106-CEM-0231
A_D13,Plate_0004,A12,P4A12,P4A12,5106-CEM-0232
A_D14,Plate_0004,B01,P4B01,P4B1,5106-CEM-0233
A_D15,Plate_0004,B02,P4B02,P4B2,5106-CEM-0234
A_D16,Plate_0004,B03,P4B03,P4B3,5106-CEM-0235
A_D17,Plate_0004,B04,P4B04,P4B4,5106-CEM-0236
A_D18,Plate_0004,B05,P4B05,P4B5,5106-CEM-0237
A_D19,Plate_0004,B06,P4B06,P4B6,5106-CEM-0238
A_D20,Plate_0004,B07,P4B07,P4B7,5106-CEM-0239
A_D21,Plate_0004,B08,P4B08,P4B8,5106-CEM-0240
A_D22,Plate_0004,B09,P4B09,P4B9,5106-CEM-0241
A_D23,Plate_0004,B10,P4B10,P4B10,5106-CEM-0242
A_D24,Plate_0004,B11,P4B11,P4B11,5106-CEM-0243
A_D26,Plate_0004,B12,P4B12,P4B12,5106-CEM-0244
A_D27,Plate_0004,C01,P4C01,P4C1,5106-CEM-0245
A_D29,Plate_0004,C02,P4C02,P4C2,5106-CEM-0246
A_D30,Plate_0004,C03,P4C03,P4C3,5106-CEM-0247
A_D31,Plate_0004,C04,P4C04,P4C4,5106-CEM-0248
A_D32,Plate_0004,C05,P4C05,P4C5,5106-CEM-0249
A_D33,Plate_0004,C06,P4C06,P4C6,5106-CEM-0250
A_D34,Plate_0004,C07,P4C07,P4C7,5106-CEM-0251
A_D35,Plate_0004,C08,P4C08,P4C8,5106-CEM-0252
A_D36,Plate_0004,C09,P4C09,P4C9,5106-CEM-0253
A_D37,Plate_0004,C10,P4C10,P4C10,5106-CEM-0254
A_D38,Plate_0004,C11,P4C11,P4C11,5106-CEM-0255
A_D39,Plate_0004,C12,P4C12,P4C12,5106-CEM-0256
A_D40,Plate_0004,D01,P4D01,P4D1,5106-CEM-0257
A_D41,Plate_0004,D02,P4D02,P4D2,5106-CEM-0258
A_D42,Plate_0004,D03,P4D03,P4D3,5106-CEM-0259
A_D43,Plate_0004,D04,P4D04,P4D4,5106-CEM-0260
A_D44,Plate_0004,D05,P4D05,P4D5,5106-CEM-0261
A_D45,Plate_0004,D06,P4D06,P4D6,5106-CEM-0262
A_D46,Plate_0004,D07,P4D07,P4D7,5106-CEM-0263
A_D47,Plate_0004,D08,P4D08,P4D8,5106-CEM-0264
A_D48,Plate_0004,D09,P4D09,P4D9,5106-CEM-0265
B_D1,Plate_0004,D10,P4D10,P4D10,5106-CEM-0266
B_D2,Plate_0004,D11,P4D11,P4D11,5106-CEM-0267
B_D3,Plate_0004,D12,P4D12,P4D12,5106-CEM-0268
B_D4,Plate_0004,E01,P4E01,P4E1,5106-CEM-0269
B_D5,Plate_0004,E02,P4E02,P4E2,5106-CEM-0270
B_D6,Plate_0004,E03,P4E03,P4E3,5106-CEM-0271
B_D7,Plate_0004,E04,P4E04,P4E4,5106-CEM-0272
B_D8,Plate_0004,E05,P4E05,P4E5,5106-CEM-0273
B_D9,Plate_0004,E06,P4E06,P4E6,5106-CEM-0274
B_D10,Plate_0004,E07,P4E07,P4E7,5106-CEM-0275
B_D11,Plate_0004,E08,P4E08,P4E8,5106-CEM-0276
B_D12,Plate_0004,E09,P4E09,P4E9,5106-CEM-0277
B_D13,Plate_0004,E10,P4E10,P4E10,5106-CEM-0278
B_D14,Plate_0004,E11,P4E11,P4E11,5106-CEM-0279
B_D15,Plate_0004,E12,P4E12,P4E12,5106-CEM-0280
B_D16,Plate_0004,F01,P4F01,P4F1,5106-CEM-0281
B_D17,Plate_0004,F02,P4F02,P4F2,5106-CEM-0282
B_D18,Plate_0004,F03,P4F03,P4F3,5106-CEM-0283
B_D19,Plate_0004,F04,P4F04,P4F4,5106-CEM-0284
B_D20,Plate_0004,F05,P4F05,P4F5,5106-CEM-0285
B_D21,Plate_0004,F06,P4F06,P4F6,5106-CEM-0286
B_D22,Plate_0004,F07,P4F07,P4F7,5106-CEM-0287
B_D23,Plate_0004,F08,P4F08,P4F8,5106-CEM-0288
B_D24,Plate_0004,F09,P4F09,P4F9,5106-CEM-0289
B_D25,Plate_0004,F10,P4F10,P4F10,5106-CEM-0290
B_D26,Plate_0004,F11,P4F11,P4F11,5106-CEM-0291
B_D27,Plate_0004,F12,P4F12,P4F12,5106-CEM-0292
B_D28,Plate_0004,G01,P4G01,P4G1,5106-CEM-0293
B_D29,Plate_0004,G02,P4G02,P4G2,5106-CEM-0294
B_D30,Plate_0004,G03,P4G03,P4G3,5106-CEM-0295
B_D31,Plate_0004,G04,P4G04,P4G4,5106-CEM-0296
B_D32,Plate_0004,G05,P4G05,P4G5,5106-CEM-0297
B_D33,Plate_0004,G06,P4G06,P4G6,5106-CEM-0298
B_D34,Plate_0004,G07,P4G07,P4G7,5106-CEM-0299
B_D35,Plate_0004,G08,P4G08,P4G8,5106-CEM-0300
B_D36,Plate_0004,G09,P4G09,P4G9,5106-CEM-0301
B_D37,Plate_0004,G10,P4G10,P4G10,5106-CEM-0302
B_D38,Plate_0004,G11,P4G11,P4G11,5106-CEM-0303
B_D39,Plate_0004,G12,P4G12,P4G12,5106-CEM-0304
B_D40,Plate_0004,H01,P4H01,P4H1,5106-CEM-0305
B_D41,Plate_0004,H02,P4H02,P4H2,5106-CEM-0306
B_D42,Plate_0004,H03,P4H03,P4H3,5106-CEM-0307
B_D43,Plate_0004,H04,P4H04,P4H4,5106-CEM-0308
B_D44,Plate_0004,H05,P4H05,P4H5,5106-CEM-0309
B_D45,Plate_0004,H06,P4H06,P4H6,5106-CEM-0310
B_D46,Plate_0004,H07,P4H07,P4H7,5106-CEM-0311
B_D47,Plate_0004,H08,P4H08,P4H8,5106-CEM-0312
Plate0004_Pos1,Plate_0004,H09,P4H09,P4H9,5106-CEM-0313
Plate0004_Pos2,Plate_0004,H10,P4H10,P4H10,5106-CEM-0314
Plate0004_Neg1,Plate_0004,H11,P4H11,P4H11,5106-CEM-0315
Plate0004_Neg2,Plate_0004,H12,P4H12,P4H12,5106-CEM-0316
