barcode,ha_uid,city,line,latitude,longitude,surface,surface_material
235030109,haib17DB4959_HTWH2CCXY_SL363489,new_york_city,Fsouth,40.680996,-73.994336,handrail,metal
235030132,haib17DB4959_HTWH2CCXY_SL363490,new_york_city,Fsouth,40.764169,-73.977288,ticket_machine,metal_plastic
235030108,haib17DB4959_HTWH2CCXY_SL363491,new_york_city,Fsouth,40.714086,-73.990474,handrail,metal
235030100,haib17DB4959_HTWH2CCXY_SL363492,new_york_city,Fsouth,40.686561,-73.989658,handrail,metal
235034018,haib17DB4959_HTWH2CCXY_SL363493,new_york_city,Fsouth,40.731026,-74.001074,sensor,metal_plastic
235030116,haib17DB4959_HTWH2CCXY_SL363494,new_york_city,Fsouth,40.714151,-73.989916,sensor,metal
235030120,haib17DB4959_HTWH2CCXY_SL363495,new_york_city,Fsouth,40.681058,-73.994465,sensor,metal
235030775,haib17DB4959_HTWH2CCXY_SL363496,new_york_city,ELineJamaicaFLine,40.701977,-73.801814,handrail,metal
235029399,haib17DB4959_HTWH2CCXY_SL363497,new_york_city,ACnorth,40.811203,-73.952273,lift_buttons,metal
235030936,haib17DB4959_HTWH2CCXY_SL363498,new_york_city,ACnorth,40.810929,-73.952525,other,metal_plastic
235030935,haib17DB4959_HTWH2CCXY_SL363499,new_york_city,ACnorth,40.796105,-73.961675,sensor,metal
235031254,haib17DB4959_HTWH2CCXY_SL363500,new_york_city,ACnorth,40.767477,-73.981977,ticket_machine,metal_plastic
235030121,haib17DB4959_HTWH2CCXY_SL363501,new_york_city,Fsouth,40.725279,-73.996257,ticket_machine,metal_plastic
232020822,haib17DB4959_HTWH2CCXY_SL363502,new_york_city,,,,,
232020868,haib17DB4959_HTWH2CCXY_SL363503,new_york_city,,,,,
235030088,haib17DB4959_HTWH2CCXY_SL363504,new_york_city,,,,,
235030075,haib17DB4959_HTWH2CCXY_SL363505,new_york_city,Fsouth,40.686635,-73.990602,ticket_machine,metal_plastic
235033988,haib17DB4959_HTWH2CCXY_SL363506,new_york_city,Fsouth,40.737335,-73.99689,ticket_machine,metal_plastic
235033995,haib17DB4959_HTWH2CCXY_SL363507,new_york_city,Fsouth,40.73121,-74.001138,handrail,metal
235030798,haib17DB4959_HTWH2CCXY_SL363508,new_york_city,ELineJamaicaFLine,40.702268,-73.816454,sensor,metal
