Sample_#,Date_Collected,Bus_Number,Bus_Line,Area,Material,Label
CSD16-FAI-0714,20160301,,,Gate 2 women's rest room toilet,tile,Airport Gate 2 women's rest room toilet_tile
CSD16-FAI-0715,20160301,,,Gate 1 floor,rubber,Airport Gate 1 floor_rubber
CSD16-FAI-0716,20160301,,,Jetway 1 sample 2,rubber,Airport Jetway 1 sample 2_rubber
CSD16-FAI-0717,20160301,,,Gate 1 seats,faux leather,Airport Gate 1 seats_faux leather
CSD16-FAI-0718,20160301,,,Getway 2 women's restroom sink,marble-like,Airport Getway 2 women's restroom sink_marble-like
CSD16-FAI-0719,20160301,,,Baggage Belt,metal,Airport Baggage Belt_metal
CSD16-FAI-0720,20160301,,,handrail,metal,Airport handrail_metal
CSD16-FAI-0721,20160301,,,Jetway wheelchair seat,faux leather,Airport Jetway wheelchair seat_faux leather
CSD16-FAI-0722,20160301,,,Jetway 1 handrail,metal,Airport Jetway 1 handrail_metal
CSD16-FAI-0723,20160301,,,Jetway 1 wheelchair foot,rubber,Airport Jetway 1 wheelchair foot_rubber
CSD16-FAI-0724,20160301,,,Gate 2 seats,faux leather,Airport Gate 2 seats_faux leather
CSD16-FAI-0725,20160301,,,Gate 1 ticket counter,ceramic,Airport Gate 1 ticket counter_ceramic
CSD16-FAI-0726,20160301,,,Kiosk,plastic screen,Airport Kiosk_plastic screen
CSD16-FAI-0727,20160301,,,Star bucks table,wood,Airport Star bucks table_wood
CSD16-FAI-0728,20160301,,,Star bucks seat from chair,wood,Airport Star bucks seat from chair_wood
CSD16-FAI-0729,20160301,,,Men's bathroom near gate 2 toilet seat,plastic,Airport Men's bathroom near gate 2 toilet seat_plastic
CSD16-FAI-0730,20160301,,,Men's bathroom near gate 2 sink,plastic,Airport Men's bathroom near gate 2 sink_plastic
CSD16-FAI-0731,20160301,,,Gate 1 pole,metal,Airport Gate 1 pole_metal
CSD16-FAI-0732,20160311,,,star bucks table,wood,Airport star bucks table_wood
CSD16-FAI-0733,20160311,,,star bucks chair,wood,Airport star bucks chair_wood
CSD16-FAI-0734,20160311,,,Jetway 2 carpet,carpet,Airport Jetway 2 carpet_carpet
CSD16-FAI-0735,20160311,,,Jetway 2 handrail,metal,Airport Jetway 2 handrail_metal
CSD16-FAI-0736,20160311,,,Jetway 1 handrail  near plane,metal,Airport Jetway 1 handrail  near plane_metal
