Plate,Row,Column,Sample Name,Original sample name,Our label of the plate,Volume (ul),Concentration (ng/ul),Organism,Sex,Sample Description,Method of quantification,Purpose
3,C,7,4866-KIU-0001,CSD16-ILR-001,CSD16-3,~30,26.54005693,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,C,8,4866-KIU-0002,CSD16-ILR-002,CSD16-3,~30,32.70669517,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,C,9,4866-KIU-0003,CSD16-ILR-003,CSD16-3,~30,25.52675374,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,C,10,4866-KIU-0004,CSD16-ILR-004,CSD16-3,~30,83.83620737,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,C,11,4866-KIU-0005,CSD16-ILR-005,CSD16-3,~30,22.23725304,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,C,12,4866-KIU-0006,CSD16-ILR-006,CSD16-3,~30,54.72889195,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,1,4866-KIU-0007,CSD16-ILR-007,CSD16-3,~30,22.5811597,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,2,4866-KIU-0008,CSD16-ILR-008,CSD16-3,~30,14.50409747,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,3,4866-KIU-0009,CSD16-ILR-009,CSD16-3,~30,8.566033602,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,4,4866-KIU-0010,CSD16-ILR-010,CSD16-3,~30,20.1390877,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,5,4866-KIU-0011,CSD16-ILR-011,CSD16-3,~30,15.2910951,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,6,4866-KIU-0012,CSD16-ILR-012,CSD16-3,~30,32.25481252,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,7,4866-KIU-0013,CSD16-ILR-013,CSD16-3,~30,29.67887582,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,8,4866-KIU-0014,CSD16-ILR-014,CSD16-3,~30,38.50094271,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,9,4866-KIU-0015,CSD16-ILR-015,CSD16-3,~30,63.01084149,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,10,4866-KIU-0016,CSD16-ILR-016,CSD16-3,~30,3.042424087,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,11,4866-KIU-0017,CSD16-ILR-017,CSD16-3,~30,17.38606916,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,D,12,4866-KIU-0018,CSD16-ILR-018,CSD16-3,~30,16.17820768,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,1,4866-KIU-0019,CSD16-ILR-019,CSD16-3,~30,29.63502482,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,2,4866-KIU-0020,CSD16-ILR-020,CSD16-3,~30,8.097812465,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,3,4866-KIU-0021,CSD16-ILR-021,CSD16-3,~30,42.92877234,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,4,4866-KIU-0022,CSD16-ILR-022,CSD16-3,~30,13.74227283,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,5,4866-KIU-0023,CSD16-ILR-023,CSD16-3,~30,40.9543018,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,6,4866-KIU-0024,CSD16-ILR-024,CSD16-3,~30,5.22239552,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,7,4866-KIU-0025,CSD16-ILR-025,CSD16-3,~30,34.2753742,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,8,4866-KIU-0026,CSD16-ILR-026,CSD16-3,~30,54.87959102,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,9,4866-KIU-0027,CSD16-ILR-027,CSD16-3,~30,7.699782151,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,10,4866-KIU-0028,CSD16-ILR-028,CSD16-3,~30,47.84825895,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,11,4866-KIU-0029,CSD16-ILR-029,CSD16-3,~30,24.30197071,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,E,12,4866-KIU-0030,CSD16-ILR-030,CSD16-3,~30,44.16711298,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
