Sample_ID,Date_Collected,Collected_By,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average_Ridership,Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature ℃,Collection_Time,,,
CSD16-BOG-001,6/21/16,,Colombia,N/A,Bogota,Station,Portal del Norte,B,,4.7541579790,-74.0463145730,Turnstile,Stainless steel,,2:00:00 PM,,,
CSD16-BOG-002,6/21/16,,Colombia,N/A,Bogota,Station,Portal del Norte,B,,4.7538461722,-74.0462888405,Railing,Stainless steel,,2:06:00 PM,,,
CSD16-BOG-003,6/21/16,,Colombia,N/A,Bogota,Station,Portal del Norte,B,,4.7546167800,-74.0461508700,Map,Vinyl,,2:15:00 PM,,,
CSD16-BOG-004,6/21/16,,Colombia,N/A,Bogota,Bus,,B,,4.7546803812,-74.0458471142,Seat ,Plastic,,2:30:00 PM,,,
CSD16-BOG-005,6/21/16,,Colombia,N/A,Bogota,Bus ,,B,,4.7552112300,-74.0457560900,Pole,Metal,,3:16:00 PM,,,
CSD16-BOG-006,6/21/16,,Colombia,N/A,Bogota,Bus,,B,,4.7275061209,-74.0504702014,Window,Glass,,2:36:00 PM,,,
CSD16-BOG-007,6/21/16,,Colombia,N/A,Bogota,Bus,,B,,4.7254522533,-74.0508266971,Pole,Metal,,2:47:00 PM,,,
CSD16-BOG-008,6/21/16,,Colombia,N/A,Bogota,Bus,,B,,4.7243550800,-74.0509716700,Seat ,Plastic,,3:16:00 PM,,,
CSD16-BOG-009,6/21/16,,Colombia,N/A,Bogota,Bus,,B,,4.6860838197,-74.0573687454,Window,Glass,,3:10:00 PM,,,
CSD16-BOG-010,6/21/16,,Colombia,N/A,Bogota,Station,Calle 100,B,,4.6833584100,-74.0577680100,Railing,Stainless steel,,3:16:00 PM,,,
CSD16-BOG-011,6/21/16,,Colombia,N/A,Bogota,Station,Calle 100,B,,4.6831809600,-74.0578483600,Map,Vinyl,,3:20:00 PM,,,
CSD16-BOG-012,6/21/16,,Colombia,N/A,Bogota,Station,Calle 100,B,,4.6829937509,-74.0578942506,Turnstile,Stainless steel,,3:16:00 PM,,,
