Sample_Name,Plate,Plate_Position,Date,Batch,Conc,start,end,today,username,simserial,subscriberid,deviceid,phonenumber,city,sampling_type,surface_sampling_protocol,air_sampling_protocol,water_sampling_protocol,soil_sampling_protocol,location_type,location_type_other,station_specific,location,line,geolocation,_geolocation_latitude,_geolocation_longitude,_geolocation_altitude,_geolocation_precision,sample_id,setting,ground_level,sampling_place,sampling_place_other,sampling_place_specifics,sampling_place_id,surface_material
A_D1,Plate_0004,A01,20170925,London1,,16:05:00,16:08:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Chiswick Park,District,51.494371103 -00.267715593  10 0,51.494371103,-0.267715593,10.00,0,D1,urban,above_ground_open,ticket_machine,,,,glass
A_D2,Plate_0004,A02,20170925,London1,,15:41:00,15:44:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Turnham Green,District,51.495185091 -00.254500038 5 0,51.495185091,-0.254500038,5.00,0,D2,urban,above_ground_open,ticket_machine,,,,glass
A_D3,Plate_0004,A03,20170925,London1,,15:16:00,15:19:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Stamford Brook,District,51.494865328 -00.245421899 5 0,51.494865328,-0.245421899,5.00,0,D3,urban,above_ground_open,ticket_machine,,,,glass
A_D4,Plate_0004,A04,20170925,London1,,14:57:00,15:00:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Ravenscourt Brook,District,51.494211265 -00.236225664 5 0,51.494211265,-0.236225664,5.00,0,D4,urban,above_ground_open,ticket_machine,,,,glass
A_D5,Plate_0004,A05,20170925,London1,,14:33:00,14:36:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Hammersmith,District,51.493572715 -00.224892685 5 0,51.493572715,-0.224892685,5.00,0,D5,urban,above_ground_open,ticket_machine,,,,glass
A_D6,Plate_0004,A06,20170925,London1,,14:09:00,14:12:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Barons Court,District,51.490227393 -00.213576608 4.6 0,51.490227393,-0.213576608,4.60,0,D6,urban,above_ground_open,ticket_machine,,,,glass
A_D7,Plate_0004,A07,20170925,London1,,13:50:00,13:53:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,West Kensington,District,51.490565630 -00.206454516 5 0,51.490565630,-0.206454516,5.00,0,D7,urban,above_ground_open,ticket_machine,,,,glass
A_D8,Plate_0004,A08,20170925,London1,,14:20:00,14:23:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Earl's Court,District,51.491876177 -00.193526047 8 0,51.491876177,-0.193526047,8.00,0,D8,urban,above_ground_open,ticket_machine,,,,glass
A_D9,Plate_0004,A09,20170925,London1,,13:53:00,13:56:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Gloucester Road,District,51.494312745 -00.182960687 7 0,51.494312745,-0.182960687,7.00,0,D9,urban,under_ground,ticket_machine,,,,glass
A_D10,Plate_0004,A10,20170925,London1,,13:31:00,13:34:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,South Kensington,District,51.494072248 -00.173903021 7 0,51.494072248,-0.173903021,7.00,0,D10,urban,under_ground,ticket_machine,,,,glass
A_D11,Plate_0004,A11,20170925,London1,,12:40:00,12:43:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Sloane Square,District,51.492361608 -00.156471428 6 0,51.492361608,-0.156471428,6.00,0,D11,urban,under_ground,ticket_machine,,,,glass
A_D13,Plate_0004,A12,20170925,London1,,11:43:00,11:46:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,St James's Park,District,51.499417081 -00.134167037 4 0,51.499417081,-0.134167037,4.00,0,D13,urban,under_ground,ticket_machine,,,,glass
A_D14,Plate_0004,B01,20170925,London1,,11:19:00,11:22:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Westminster,District,51.501156967 -00.124793827 6 0,51.501156967,-0.124793827,6.00,0,D14,urban,under_ground,ticket_machine,,,,glass
A_D15,Plate_0004,B02,20170925,London1,,10:05:00,10:08:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Embankment,District,51.507310119 -00.122340604 5 0,51.507310119,-0.122340604,5.00,0,D15,urban,under_ground,ticket_machine,,,,glass
A_D16,Plate_0004,B03,20170925,London1,,16:55:00,16:58:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Temple,District,51.511041845 -00.113692896 5 0,51.511041845,-0.113692896,5.00,0,D16,urban,under_ground,ticket_machine,,,,glass
A_D17,Plate_0004,B04,20170925,London1,,16:38:00,16:41:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Blackfriars,District,51.511562507 -00.103596123 8 0,51.511562507,-0.103596123,8.00,0,D17,urban,under_ground,ticket_machine,,,,glass
A_D18,Plate_0004,B05,20170925,London1,,16:21:00,16:24:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Mansion House,District,51.512094100 -00.094171678 14 0,51.512094100,-0.094171678,14.00,0,D18,urban,under_ground,ticket_machine,,,,glass
A_D19,Plate_0004,B06,20170925,London1,,16:06:00,16:09:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Cannon Street,District,51.511505842 -00.090681195 11 0,51.511505842,-0.090681195,11.00,0,D19,urban,under_ground,ticket_machine,,,,glass
A_D20,Plate_0004,B07,20170925,London1,,15:41:00,15:44:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Monument,District,51.510634491 -00.086160710 14.3 0,51.510634491,-0.086160710,14.30,0,D20,urban,under_ground,ticket_machine,,,,glass
A_D21,Plate_0004,B08,20170925,London1,,15:17:00,15:20:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Tower Hill,District,51.510139104 -00.076335576 14 0,51.510139104,-0.076335576,14.00,0,D21,urban,under_ground,ticket_machine,,,,glass
A_D22,Plate_0004,B09,20170925,London1,,14:40:00,14:43:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Aldgate East,District,51.515300715 -00.072274025 14 0,51.515300715,-0.072274025,14.00,0,D22,urban,under_ground,ticket_machine,,,,glass
A_D23,Plate_0004,B10,20170925,London1,,09:44:00,09:47:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Whitechapel,District,51.519529261 -00.059968492 12 0,51.519529261,-0.059968492,12.00,0,D23,urban,under_ground,ticket_machine,,,,glass
A_D24,Plate_0004,B11,20170925,London1,,10:48:00,10:51:00,2017-06-21,,,,,,London,surface,Isohelix,,,,station,,ticket_hall,Stepney green,District,51.521979324 -00.046455251 10 0,51.521979324,-0.046455251,10.00,0,D24,urban,under_ground,ticket_machine,,,,glass
