Sample_ID,Date_Collected,Sample_Collector_Name,Country,State,City,Subway/Bus/Station,Description,Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature_C,,,,
CSD2016-TOK-001,7/8/16,Nancy_Merino,Japan,N/A,tokyo,school,West Hall,35.6053238,139.6824074,Female bathroom - toilet,Plastic,27.7,,,,
CSD2016-TOK-001 test,7/8/16,Test?,Japan,N/A,tokyo,school,Tokyo Tech West Hall,35.60533688,139.6824396,,,25.8,,,,
CSD2016-TOK-002,7/8/16,Nancy_Merino,Japan,N/A,tokyo,school,West Hall,35.6053238,139.6824074,Male bathroom - toilet seat,Plastic,27.3,,,,
CSD2016-TOK-003,7/8/16,Nancy_Merino,Japan,N/A,tokyo,school,West Hall,35.6053238,139.6824074,Male bathroom - toilet seat,Plastic,27.4,,,,
CSD2016-TOK-004,7/8/16,Donato_Giovannelli,Japan,N/A,tokyo,school,Wet Hall,35.6053238,139.6824074,Handrails ,Wood,27.3,,,,
CSD2016-TOK-005,7/8/16,Donato_Giovannelli,Japan,N/A,tokyo,school,West Hall,35.6053238,139.6824074,Handrails ,Wood,27.3,,,,
CSD2016-TOK-006,7/8/16,Donato_Giovannelli,Japan,N/A,tokyo,school,West Hall,35.6053238,139.6824074,Handrails ,Wood,27.3,,,,
CSD2016-TOK-007,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 restroom toilet seat,Ceramic,24.9,,,,
CSD2016-TOK-008,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 restroom toilet seat,Ceramic,26.3,,,,
CSD2016-TOK-009,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 restroom toilet seat,Ceramic,27.2,,,,
CSD2016-TOK-010,7/8/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,West Hall,35.6053238,139.6824074,Classroom desks,Wood,26.6,,,,
CSD2016-TOK-011,7/8/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,West Hall,35.6053238,139.6824074,Classroom desks ,Wood,26.6,,,,
CSD2016-TOK-012,7/8/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,West Hall,35.6053238,139.6824074,Classroom desks,Wood,26.6,,,,
