Sample_ID,Date_Collected,Sample_Collector_Name,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average Ridership (2016),Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature_C,,,,
CSD16_ZRH_027,6/28/16 18:17,,Switzerland,N/A,Zurich,subway_station,Bahnhof Altstetten,14,,47.39110454,8.488376141,railing,Plastic,,,,,
CSD16_ZRH_028,6/28/16 18:21,,Switzerland,N/A,Zurich,subway_station,Bahnhof Altstetten,14,,47.39110091,8.488376141,seat,Wood,,,,,
CSD16_ZRH_003,6/21/16 9:47,,Switzerland,N/A,Zurich,subway_station,Bahnhof Enge,14,,47.3641351,8.531493,railing,Plastic,,,,,
CSD16_ZRH_004,6/21/16 9:54,,Switzerland,N/A,Zurich,subway_station,Bahnhof Enge,14,,47.3641269,8.531677,seat,Wood,,,,,
CSD16_ZRH_009,6/21/16 11:03,,Switzerland,N/A,Zurich,subway_station,Bahnhof Tiefenbrunnen,12,,47.350464,8.5610534,railing,Plastic,,,,,
CSD16_ZRH_010,6/21/16 11:08,,Switzerland,N/A,Zurich,subway_station,Bahnhof Tiefenbrunnen,12,,47.3504641,8.5606527,seat,Wood,,,,,
CSD16_ZRH_06,6/21/16 10:19,,Switzerland,N/A,Zurich,subway_station,Bahnhof Wiedikon,11,,47.3712189,8.5240132,seat,Wood,,,,,
CSD16_ZRH_014,6/21/16 13:03,,Switzerland,N/A,Zurich,subway_station,Bahnhofplatz / HB,14,,47.3771714,8.5399461,seat,Plastic,,,,,
CSD16_ZHR_013,6/21/16 13:03,,Switzerland,N/A,Zurich,subway_station,Bahnhofplatz / HB,14,,47.3772098,8.5400169,railing,Plastic,,,,,
CSD16_ZRH_015,6/21/16 13:03,,Switzerland,N/A,Zurich,subway_station,Bahnhofquai / HB,12,,47.3775256,8.5417995,railing,Plastic,,,,,
CSD16_ZRH_016,6/21/16 13:04,,Switzerland,N/A,Zurich,subway_station,Bahnhofquai / HB,14,,47.37724068,8.539960384,seat,Wood,,,,,
CSD16_ZRH_012,6/21/16 13:02,,Switzerland,N/A,Zurich,subway_station,Bahnhofstrasse / HB,12,,47.3759248,8.5396958,seat,Wood,,,,,
CSD16_ZRH_011,6/21/16 13:03,,Switzerland,N/A,Zurich,subway_station,Bahnhofstrasse / HB,14,,47.3765342,8.5393419,railing,Plastic,,,,,
