Well (P/R/C),Name,Volume (ul),Conc (ng/ul),Description
1/A/1,5332-CEM-0001,80.0,0.042,gCSD17-HKG-AS1
1/A/2,5332-CEM-0002,80.0,0.0205,gCSD17-HKG-AS2
1/A/3,5332-CEM-0003,90.0,0.0416,gCSD17-HKG-AS3
1/A/4,5332-CEM-0004,80.0,0.116,gCSD17-HKG-AS4
1/A/5,5332-CEM-0005,80.0,0.0294,gCSD17-HKG-AS5
1/A/6,5332-CEM-0006,80.0,0.0461,gCSD17-HKG-AS6
1/A/7,5332-CEM-0007,90.0,0.0674,gCSD17-HKG-AS7
1/A/8,5332-CEM-0008,90.0,0.049,gCSD17-HKG-AS8
1/A/9,5332-CEM-0009,90.0,0.0226,gCSD17-HKG-AS9
1/A/10,5332-CEM-0010,90.0,0.0262,gCSD17-HKG-AS10
1/A/11,5332-CEM-0011,90.0,0.0764,gCSD17-HKG-AS11
1/A/12,5332-CEM-0012,90.0,0.0384,gCSD17-HKG-AS12
1/B/1,5332-CEM-0013,90.0,0.0714,gCSD17-HKG-AS13
1/B/2,5332-CEM-0014,90.0,0.0554,gCSD17-HKG-AS14
1/B/3,5332-CEM-0015,90.0,0.0312,gCSD17-HKG-AS15
1/B/4,5332-CEM-0016,90.0,0.0568,gCSD17-HKG-AS16
1/B/5,5332-CEM-0017,90.0,0.0636,gCSD17-HKG-AS17
1/B/6,5332-CEM-0018,90.0,0.0446,gCSD17-HKG-AS18
1/B/7,5332-CEM-0019,90.0,0.038,gCSD17-HKG-AS19
1/B/8,5332-CEM-0020,90.0,0.0356,gCSD17-HKG-AS20
1/B/9,5332-CEM-0021,90.0,0.0296,gCSD17-HKG-AS21
1/B/10,5332-CEM-0022,90.0,0.0218,gCSD17-HKG-AS22
1/B/11,5332-CEM-0023,90.0,0.0588,gCSD17-HKG-AS23
1/B/12,5332-CEM-0024,90.0,0.0368,gCSD17-HKG-AS24
1/C/1,5332-CEM-0025,90.0,0.0306,gCSD17-HKG-AS25
1/C/2,5332-CEM-0026,90.0,0.0294,gCSD17-HKG-AS26
1/C/3,5332-CEM-0027,90.0,0.0572,gCSD17-HKG-AS27
1/C/4,5332-CEM-0028,90.0,0.0192,gCSD17-HKG-AS28
1/C/5,5332-CEM-0029,90.0,0.0424,gCSD17-HKG-AS29
1/C/6,5332-CEM-0030,90.0,0.0182,gCSD17-HKG-AS30
1/C/7,5332-CEM-0031,90.0,0.0366,gCSD17-HKG-AS31
1/C/8,5332-CEM-0032,90.0,0.04,gCSD17-HKG-AS32
1/C/9,5332-CEM-0033,90.0,0.0,gCSD17-HKG-AS33
1/C/10,5332-CEM-0034,90.0,0.0332,gCSD17-HKG-AS34
1/C/11,5332-CEM-0035,90.0,0.0172,gCSD17-HKG-AS35
1/C/12,5332-CEM-0036,90.0,0.0396,gCSD17-HKG-AS36
1/D/1,5332-CEM-0037,90.0,0.036,gCSD17-HKG-AS37
1/D/2,5332-CEM-0038,90.0,0.0326,gCSD17-HKG-AS38
1/D/3,5332-CEM-0039,90.0,0.041,gCSD17-HKG-AS39
1/D/4,5332-CEM-0040,90.0,0.0312,gCSD17-HKG-AS40
1/D/5,5332-CEM-0041,90.0,0.085,gCSD17-HKG-AS41
1/D/6,5332-CEM-0042,90.0,0.0452,gCSD17-HKG-AS42
1/D/7,5332-CEM-0043,90.0,0.0,gCSD17-HKG-AS43
1/D/8,5332-CEM-0044,90.0,0.0136,gCSD17-HKG-AS44
1/D/9,5332-CEM-0045,90.0,0.0442,gCSD17-HKG-AS45
1/D/10,5332-CEM-0046,90.0,0.0536,gCSD17-HKG-AS46
1/D/11,5332-CEM-0047,90.0,0.0418,gCSD17-HKG-AS47
1/D/12,5332-CEM-0048,90.0,0.0206,gCSD17-HKG-AS48
1/E/1,5332-CEM-0049,90.0,0.0284,gCSD17-HKG-AS49
1/E/2,5332-CEM-0050,90.0,0.0112,gCSD17-HKG-AS50
1/E/3,5332-CEM-0051,90.0,0.0246,gCSD17-HKG-AS51
1/E/4,5332-CEM-0052,90.0,0.039,gCSD17-HKG-AS52
1/E/5,5332-CEM-0053,90.0,0.0,gCSD17-HKG-AS53
1/E/6,5332-CEM-0054,90.0,0.0118,gCSD17-HKG-AS54
1/E/7,5332-CEM-0055,90.0,0.018,gCSD17-HKG-AS55
1/E/8,5332-CEM-0056,90.0,0.0412,gCSD17-HKG-AS56
1/E/9,5332-CEM-0057,90.0,0.0388,gCSD17-HKG-AS57
1/E/10,5332-CEM-0058,90.0,0.041,gCSD17-HKG-AS58
1/E/11,5332-CEM-0059,90.0,0.015,gCSD17-HKG-AS59
1/E/12,5332-CEM-0060,90.0,0.0754,gCSD17-HKG-AS60
1/F/1,5332-CEM-0061,90.0,0.0198,gCSD17-HKG-AS61
1/F/2,5332-CEM-0062,90.0,0.0,gCSD17-HKG-AS62
1/F/3,5332-CEM-0063,90.0,0.014,gCSD17-HKG-AS63
1/F/4,5332-CEM-0064,90.0,0.0132,gCSD17-HKG-AS64
1/F/5,5332-CEM-0065,90.0,0.035,gCSD17-HKG-AS65
1/F/6,5332-CEM-0066,90.0,0.0358,gCSD17-HKG-AS66
1/F/7,5332-CEM-0067,90.0,0.0914,gCSD17-HKG-AS67
1/F/8,5332-CEM-0068,90.0,0.0138,gCSD17-HKG-AS68
1/F/9,5332-CEM-0069,90.0,0.013,gCSD17-HKG-AS69
1/F/10,5332-CEM-0070,90.0,0.0128,gCSD17-HKG-AS70
