X,Y,__created,__modified,__owner,sample_number,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi_number,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city,temperature,temperature_type,humidity,weather
174.8095605,-36.8623221,6/20/16 22:45,6/20/16 22:45,108116,Csd16-akl-001,mdc_photo_mdc_082050_1466462595065_1466462748673.jpg,sub_line,urban,,,,,,,Center seat,,,,,,,,,,,,Orakei station ,,174.8095605,-36.8623221,10:45,Auckland,,,,cloudy
174.8095648,-36.8623615,6/20/16 22:49,6/20/16 22:49,108116,Csd16-akl-002,mdc_photo_mdc_00a2a0_1466462829604_1466462946243.jpg,sub_line,urban,Glass,,,,,,,,,,,,,,,,,,Orakei,,174.8095648,-36.8623615,10:48,Auckland,,,,cloudy
174.8095119,-36.8624366,6/20/16 22:58,6/20/16 22:58,108116,Csd16-AKL-003,mdc_photo_mdc_b19dda_1466463436863_1466463527930.jpg,sub_line,urban,Metal,,,,subway_station,,,,,,,,,,,,,Orakei station ,,,174.8095119,-36.8624366,10.58,Auckland,,,,cloudy
174.8095257,-36.8624002,6/20/16 23:01,6/20/16 23:01,108116,Csd16-akl-004,mdc_photo_mdc_f7f900_1466463574966_1466463659393.jpg,sub_line,urban,Metal,,,,,,,,,,,,,,,,,Orakei station ,,,174.8095257,-36.8624002,11,Auckland,,,,cloudy
174.8095224,-36.8623943,6/20/16 23:02,6/20/16 23:02,108116,Csd16-akl-005,mdc_photo_mdc_33bb7a_1466463705746_1466463775713.jpg,sub_line,urban,Wood,,,,subway_station,,,,,,,,,,,,,Orakei station ,,,174.8095224,-36.8623943,11.02,Auckland,,,,cloudy
174.8094938,-36.8623448,6/20/16 23:04,6/20/16 23:04,108116,Csd16-akl-006,mdc_photo_mdc_24ce80_1466463880414_1466463890084.jpg,sub_line,urban,Metal,,,,,,,,,,,,,,,,,Orakei station ,,,174.8094938,-36.8623448,11.04,Auckland,,,,cloudy
174.8207246,-36.8662717,6/20/16 23:28,6/20/16 23:28,108116,Csd16-akl-007,mdc_photo_mdc_a6bcf0_1466465202341_1466465313518.jpg,sub_line,urban,Wood,,,,subway_station,,,,,,,,,,,,,Meadowbank station ,,,174.8207246,-36.8662717,11.28,Auckland,,,,cloudy
174.8207513,-36.8663099,6/20/16 23:30,6/20/16 23:30,108116,Csd16-akl-008,mdc_photo_mdc_a0e300_1466465367068_1466465434583.jpg,sub_line,urban,Glass,,,,subway_station,,,,,,,,,,,,,Meadowbank station ,,,174.8207513,-36.8663099,,Auckland,,,,cloudy
174.8207887,-36.8663124,6/20/16 23:32,6/20/16 23:32,108116,Csd16-akl-009,mdc_photo_mdc_f5cb0a_1466465567663_1466465573936.jpg,sub_line,,Metal,,,,subway_station,,,,,,,,,,,,,Meadowbank station ,Ticket machine ,,174.8207887,-36.8663124,,Auckland,,,,
174.8207613,-36.866287,6/20/16 23:35,6/20/16 23:35,108116,Csd16-akl-010,mdc_photo_mdc_6bb600_1466465742830_1466465748297.jpg,sub_line,urban,Metal,,,,subway_station,,Other,,,,,,,,,,,,Trash can,,174.8207613,-36.866287,11.35,Auckland,,,,cloudy
