,,FID,sample_number,,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city
German,Fondo/Baro de viver,2,CDS16-BCN-001,21.06.2016,mdc_photo_mdc_a18390_1466505254895_1466505379650.jpg,sub_line,urban,Glass,Kiosk,,Fondo,subway_station,,,,,,,,,,,,,Kiosk fondo station 12.35,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,3,CDS16-BCN-002,21.06.2016,mdc_photo_mdc_8af900_1466505773550_1466505875876.jpg,sub_line,urban,Rubber,Escalator,,Fondo,subway_station,,,,,,,,,,,,,Fondo plastic handling de escalador 12.44,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,4,CDS16-BCN-003,21.06.2016,mdc_photo_mdc_4db500_1466506162129_1466506254148.jpg,sub_line,urban,Metal,Handrail,,Fondo,subway_station,,,,,,,,,,,,Fondo,Fondo stairs railing 12.50,,2.21869E+12,4.14516E+13,,Barcelona
German,Fondo/Baro de viver,5,CDS16-BCN-004,21.06.2016,mdc_photo_mdc_62d220_1466506793513_1466506875652.jpg,sub_line,urban,Metal,Turnstil,,Fondo,subway_station,,,,,,,,,,,,Fondo,Fondo turnstills 13.00,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,7,CDS16-BCN-005,21.06.2016,mdc_photo_mdc_cdcc96_1466507180730_1466507268970.jpg,sub_line,urban,Air,Air,,Fondo,subway_station,,,,,,,,,,,,Fondo station air,Station upper pavilion fondo 13.07,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,9,CDS16-BCN-006,21.06.2016,mdc_photo_mdc_6a4ba0_1466507666737_1466507721521.jpg,sub_line,urban,Air,Air,,Fondo,subway_station,,,,,,,,,,,,,Air in the inner pavilion fondo,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,11,CDS16-BCN-007,21.06.2016,mdc_photo_mdc_6a2aaa_1466507971494_1466508034280.jpg,sub_line,urban,Rubber,Escalator,,Fondo,subway_station,,,,,,,,,,,,Fondo,Fondo handrails inner escalador 13.20,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,12,CDS16-BCN-008,21.06.2016,mdc_photo_mdc_13aa2a_1466508237557_1466508296944.jpg,sub_line,urban,Metal,Handrail,,Fondo,subway_station,,,,,,,,,,,,,Fondo stairs railings inside the station,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,42,CDS16-BCN-009,21.06.2016,mdc_photo_mdc_bd063a_1466509012914_1466511704765.jpg,sub_line,urban,Metal,Poll,,Fondo,subway_car,,,middle,,,,,,,,,,L9 line hand railings inside the car,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,20,CDS16-BCN-010,21.06.2016,mdc_photo_mdc_d024b0_1466509874379_1466510033670.jpg,sub_line,urban,Plastic,Seats,,Fondo,subway_car,,Seat near door,middle,,,,,,,,,,Sits in the car l9 line close to fondo,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,31,CDS16-BCN-011,21.06.2016,mdc_photo_mdc_3331b0_1466510499376_1466510574995.jpg,sub_line,urban,Metal,Poll,,Baro de Viver,subway_car,,Ceiling Rail,last,,,,,,,,,,In the car hand railings l1 line,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,36,CDS16-BCN-012,21.06.2016,mdc_photo_mdc_e62ac0_1466511172911_1466511243015.jpg,sub_line,urban,Glass,Kiosk,,Baro de Viver,subway_station,,,,,,,,,,,,,Bara de viver kiosk 14.13,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,38,CDS16-BCN-013,21.06.2016,mdc_photo_mdc_c007a0_1466511465295_1466511532681.jpg,sub_line,urban,Metal,Turnstile,,Baro de Viver,subway_station,,,,,,,,,,,,,Baro de viver turnstille 14.18,,2.21851E+12,4.14515E+13,,Barcelona
German,Fondo/Baro de viver,46,CDS16-BCN-014,21.06.2016,mdc_photo_mdc_992de4_1466512247256_1466512328643.jpg,sub_line,urban,Metal,Handrail,,Baro de Viver,subway_station,,,,,,,,,,,,,Stairs railings baro de viver 14.32,,2.20238E+12,4.14501E+13,,Barcelona
