HA-Project-ID,HA-ID,Sample-ID,City-ID,project,status,,,,city,setting,ground_level,traffic,latitude,longitude,material,sample_place,,Yield,Date_Collected,City,Subway/Bus/Station,Description,Line(Station Only),Average_Ridership (2016),Latitude,Longitude,Object_Swabbed,Surface_Material
haib14SL2643,2643-SL-0001,P00007,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0002,P00008,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0003,P00009,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0004,P00010,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0005,P00011,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0006,P00027,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0007,P00030,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0008,P00031,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0009,P00024,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0010,P00081,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
