city,location_type,latitude,longitude,setting,ground_level,sampling_place,surface_material,Library_name
Lands End,other,50.1,-5.7,rural,above_ground_open,vert_pole,wood,5080-CEM-0001
Birmingham,Street,52.5,-1.9,urban,above_ground_open,handrail,wood,5080-CEM-0002
Birmingham,Street,52.5,-1.9,urban,above_ground_open,handrail,wood,5080-CEM-0003
Birmingham,Street,52.5,-1.9,urban,above_ground_open,handrail,metal,5080-CEM-0004
Birmingham,other,52.5,-1.9,urban,above_ground_open,entrance_door,metal,5080-CEM-0005
Birmingham,Supermarket,52.4,-1.9,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0006
Birmingham,Supermarket,52.4,-1.9,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0007
Birmingham,Supermarket,52.4,-1.9,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0008
Newcastle,Street,55,-1.6,urban,above_ground_open,entrance_door,metal,5080-CEM-0009
Newcastle,other,55,-1.6,urban,above_ground_open,handrail,metal,5080-CEM-0010
Newcastle,Supermarket,55,-1.6,urban,under_ground,trolley_handle,plastic,5080-CEM-0011
Newcastle,Supermarket,55,-1.6,urban,under_ground,trolley_handle,plastic,5080-CEM-0012
Newcastle,Supermarket,55,-1.6,urban,under_ground,trolley_handle,plastic,5080-CEM-0013
Bury,Supermarket,53.6,-2.3,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0014
Bury,Supermarket,53.6,-2.3,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0015
Bury,Supermarket,53.6,-2.3,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0016
Bury,other,53.6,-2.3,urban,above_ground_open,entrance_door,metal,5080-CEM-0017
Bury,school,53.6,-2.3,suburban,above_ground_open,handrail,metal,5080-CEM-0018
Bury,hospital,53.6,-2.3,suburban,above_ground_open,handrail,painted_metal,5080-CEM-0019
Eden,other,54.7,-2.7,rural,above_ground_open,other,painted_metal,5080-CEM-0020
Eden,Supermarket,54.7,-2.8,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0021
Eden,Supermarket,54.7,-2.8,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0022
Eden,Supermarket,54.7,-2.8,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0023
Eden,church,54.7,-2.8,suburban,above_ground_open,other,metal,5080-CEM-0024
Edinborough,Supermarket,55.9,-3.1,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0025
Edinborough,Supermarket,55.9,-3.1,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0026
Edinborough,Supermarket,55.9,-3.1,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0027
Edinborough,other,55.9,-3.3,suburban,above_ground_open,handrail,painted_metal,5080-CEM-0028
Edinborough,busstop,56,-3.2,urban,above_ground_open,seat,metal_plastic,5080-CEM-0029
Edinborough,Restaurant_or_pub,56,-3.2,urban,above_ground_open,entrance_door,wood,5080-CEM-0030
Jaywick,Supermarket,51.8,1.1,suburban,above_ground_open,other,metal_plastic,5080-CEM-0031
Jaywick,Supermarket,51.8,1.1,suburban,above_ground_open,other,metal_plastic,5080-CEM-0032
Jaywick,Supermarket,51.8,1.1,suburban,above_ground_open,other,metal_plastic,5080-CEM-0033
Jaywick,other,51.8,1.1,suburban,above_ground_open,entrance_door,painted_metal,5080-CEM-0034
Jaywick,Payphone,51.8,1.1,suburban,above_ground_closed,other,metal,5080-CEM-0035
Jaywick,Street,51.8,1.1,suburban,above_ground_open,floor,concrete,5080-CEM-0036
Eastbourne,school,50.8,0.3,suburban,above_ground_open,handrail,metal,5080-CEM-0037
Eastbourne,Supermarket,50.8,0.3,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0038
Eastbourne,Supermarket,50.8,0.3,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0039
Eastbourne,Supermarket,50.8,0.3,suburban,above_ground_open,vert_pole,plastic,5080-CEM-0040
Eastbourne,hospital,50.8,0.3,suburban,above_ground_open,handrail,painted_metal,5080-CEM-0041
Eastbourne,Restaurant_or_pub,50.8,0.3,urban,above_ground_open,entrance_door,metal_plastic,5080-CEM-0042
Bradford,shrine,53.8,-1.8,urban,above_ground_open,handrail,painted_metal,5080-CEM-0043
Bradford,Supermarket,53.8,-1.8,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0044
Bradford,Supermarket,53.8,-1.8,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0045
Bradford,Supermarket,53.8,-1.8,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0046
Bristol,other,51.5,-2.6,urban,above_ground_closed,table,wood,5080-CEM-0047
Bristol,office,51.5,-2.6,urban,above_ground_closed,touchscreen,other,5080-CEM-0048
Other,other,58.6,-3.1,rural,above_ground_open,vert_pole,wood,5080-CEM-0049
Belfast,other,54.6,-5.9,urban,above_ground_open,entrance_door,metal,5080-CEM-0050
Belfast,other,54.6,-5.9,urban,above_ground_open,handrail,metal,5080-CEM-0051
Belfast,Supermarket,54.6,-5.9,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0052
Belfast,Supermarket,54.6,-5.9,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0053
Belfast,Supermarket,54.6,-5.9,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0054
Lands End,other,50.1,-5.7,rural,above_ground_open,entrance_door,plastic,5080-CEM-0055
Lands End,Supermarket,50.1,-5.5,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0056
Lands End,Supermarket,50.1,-5.5,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0057
Lands End,Supermarket,50.1,-5.5,suburban,above_ground_open,trolley_handle,plastic,5080-CEM-0058
Swansea,university,51.6,-4,urban,above_ground_open,entrance_door,painted_metal,5080-CEM-0059
Swansea,other,51.6,-4,urban,above_ground_open,handrail,metal,5080-CEM-0060
Swansea,other,51.6,-4,urban,above_ground_open,handrail,metal,5080-CEM-0061
Swansea,Supermarket,51.6,-3.9,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0062
Swansea,Supermarket,51.6,-3.9,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0063
Swansea,Supermarket,51.6,-3.9,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0064
Islington,Supermarket,51.6,-0.1,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0065
Islington,Supermarket,51.6,-0.1,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0066
Islington,Supermarket,51.6,-0.1,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0067
Islington,other,51.5,-0.1,urban,above_ground_open,entrance_door,metal,5080-CEM-0068
Islington,other,51.5,-0.1,urban,above_ground_open,other,other,5080-CEM-0069
Kensington,Restaurant_or_pub,51.5,-0.2,urban,above_ground_open,entrance_door,metal,5080-CEM-0070
Kensington,Street,51.5,-0.2,urban,above_ground_open,ground,concrete,5080-CEM-0071
Other,Payphone,51.5,-0.2,urban,above_ground_open,other,metal,5080-CEM-0072
Kensington,Supermarket,51.5,-0.2,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0073
Kensington,Supermarket,51.5,-0.2,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0074
Kensington,Supermarket,51.5,-0.2,urban,above_ground_open,trolley_handle,plastic,5080-CEM-0075
Cairngorm,shrine,57.1,-3.6,rural,above_ground_open,cairn,granite,5080-CEM-0076
Cairngorm,other,57.1,-3.7,rural,above_ground_open,cairn,granite,5080-CEM-0077
Cairngorm,Restaurant_or_pub,57.1,-3.7,rural,above_ground_open,entrance_door,metal,5080-CEM-0078
Cairngorm,Restaurant_or_pub,57.1,-3.7,rural,above_ground_open,entrance_door,metal,5080-CEM-0079
