sample_id,CSD_ID_Corrected,barcode,Yield,Date Collected,Username,Country,State,CityCode,City,Location_Type,location,line,Average_Ridership (2016),Latitude,Longitude,Object Swabbed,surface_material,Temperature ℃,Duplicate,UUID,,
HKMTR1001AM,CSD16-HON-HKMTR1001AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Island,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1001PM,CSD16-HON-HKMTR1001PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Island,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1002AM,CSD16-HON-HKMTR1002AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1002PM,CSD16-HON-HKMTR1002PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1003AM,CSD16-HON-HKMTR1003AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Kwun Tong,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1003PM,CSD16-HON-HKMTR1003PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Kwun Tong,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1004AM,CSD16-HON-HKMTR1004AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1004PM,CSD16-HON-HKMTR1004PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1005AM,CSD16-HON-HKMTR1005AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,West Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1005PM,CSD16-HON-HKMTR1005PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,West Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1006AM,CSD16-HON-HKMTR1006AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tseung Kwan O,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1006PM,CSD16-HON-HKMTR1006PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tseung Kwan O,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1007AM,CSD16-HON-HKMTR1007AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,Ma On Shan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
