X,Y,__created,__modified,__owner,sample_number,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi_number,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city,temperature,temperature_type,humidity,weather
-8.325518,41.4985091,6/30/16 23:23,6/30/16 23:23,108120,CSD16-PXO-202,mdc_photo_image%3A37652_1467328977979.jpg,sub_line,rural,Metal,,,Fânzeres,subway_car,,Seat Rail,first,,,,,,,,10,,,50 s ,,-8.325518,41.4985091,14:38,Porto,27.1,Celsius,48.8,sunny
-8.3255345,41.4985344,6/30/16 23:23,6/30/16 23:23,108120,CDS16-PXO-203,mdc_photo_image%3A37647_1467328984255.jpg,sub_line,rural,Stone,,,Venda Nova,subway_station,,,,,,,,,,,,,,,,-8.3255345,41.4985344,14:47,Porto,27.3,Celsius,48,sunny
-8.325519,41.4985126,6/30/16 23:23,6/30/16 23:23,108120,CDS16-PXO-205,mdc_photo_image%3A37648_1467328992525.jpg,sub_line,rural,Metal,,,Venda Nova,subway_car,,Pole,middle,,,,,,,,13,,,1min 39sec.,,-8.325519,41.4985126,14:53,Porto,27.2,Celsius,50.3,sunny
-8.3255129,41.498506,6/30/16 23:23,6/30/16 23:23,108120,CDS16-PXO-201,mdc_photo_image%3A37642_1467328999632.jpg,sub_line,rural,Plastic,,,Fânzeres,subway_station,,,,,,,,,,,,,,Validation ticket ,,-8.3255129,41.498506,14:25,Porto,26.7,Celsius,53.5,sunny
-8.3255307,41.4985343,6/30/16 23:23,6/30/16 23:23,108120,CSD16-PXO-200,mdc_photo_image%3A37643_1467329005231.jpg,sub_line,rural,Metal,,,Fânzeres,subway_station,,,,,,,,,,,,,,3 min,,-8.3255307,41.4985343,14:25,Porto,26.7,Celsius,53.5,sunny
-8.3255194,41.498512,6/30/16 23:23,6/30/16 23:23,108120,CDS16-PXO-204,mdc_photo_image%3A37645_1467329012588.jpg,sub_line,rural,Glass,,,Venda Nova,subway_station,,,,,,,,,,,,,,"Station ""limits"" ",,-8.3255194,41.498512,14:47,Porto,27.3,Celsius,48,sunny
-8.6020997,41.1761447,7/1/16 8:33,7/1/16 8:33,108120,CSD16-PXO-206,mdc_photo_image%3A37649_1467362017831.jpg,sub_line,rural,Metal,,,Carreira,subway_station,,,,,,,,,,,,,,,,-8.6020997,41.1761447,15:03,Porto,26.7,Celsius,49.9,sunny
-8.6020024,41.176171,7/1/16 8:36,7/1/16 8:36,108120,CDS16-PXO-207,mdc_photo_image%3A37650_1467362169288.jpg,sub_line,rural,Plastic,,,Carreira,subway_station,,,,,,,,,,,,,,Information Placard ,,-8.6020024,41.176171,15:03,Porto,26.7,Celsius,49.9,sunny
-8.6020159,41.1761695,7/1/16 8:41,7/1/16 8:41,108120,CDS16-PXO-208,mdc_photo_image%3A37652_1467362487218.jpg,sub_line,rural,Carpet,,,Carreira,subway_car,,Seat near door,last,,,,,,,,6,,,1min 30sec,,-8.6020159,41.1761695,15:12,Porto,25,Celsius,54,cloudy
-8.3255303,41.4985354,7/2/16 16:29,7/2/16 16:29,108120,CDS16-PXO-209,mdc_photo_image%3A37654_1467476983195.jpg,sub_line,rural,Metal,,,Baguim,subway_station,,,,,,,,,,,,,,,,-8.3255303,41.4985354,15:21,Porto,23.5,Celsius,54,cloudy
