Sample ID,Analytes of interest,Sample Type,Storage reagent,Shipment date,Project, City Region/Station Names,latitude,longitude,Surface
OLY-BTF-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Botafogo Station,-22.95015811,-43.18422176,Station Railing
OLY-BTF-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Botafogo Station,-22.95015811,-43.18422176,Station eletronic kiosk
OLY-BTF-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Botafogo Station,-22.95015811,-43.18422176,Station Seat
OLY-CRC-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Carioca Station,-22.90762782,-43.17796615,Station Railing
OLY-CRC-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Carioca Station,-22.90762782,-43.17796615,Station eletronic kiosk
OLY-CRC-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Carioca Station,-22.90762782,-43.17796615,Station Seat
OLY-DCT-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Nova América Del Castilho Station,-22.87919891,-43.27205217,Station Railing
OLY-DCT-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Nova América Del Castilho Station,-22.87919891,-43.27205217,Station eletronic kiosk
OLY-DCT-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Nova América Del Castilho Station,-22.87919891,-43.27205217,Station Seat
OLY-GOS-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,General Osório Station,-22.98477935,-43.19790062,Station Railing
OLY-GOS-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,General Osório Station,-22.98477935,-43.19790062,Station eletronic kiosk
OLY-GOS-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,General Osório Station,-22.98477935,-43.19790062,Station Seat
OLY-MRC-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Maracanã Station,-22.90970426,-43.23390238,Station Railing
OLY-MRC-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Maracanã Station,-22.90970426,-43.23390238,Station eletronic kiosk
OLY-MRC-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Maracanã Station,-22.90970426,-43.23390238,Station Seat
OLY-SPN-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Saens Peña Station,-22.92405632,-43.23247709,Station Railing
OLY-SPN-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Saens Peña Station,-22.92405632,-43.23247709,Station eletronic kiosk
OLY-SPN-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Saens Peña Station,-22.92405632,-43.23247709,Station Seat
OLY-CTR-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Central Station,-22.90501773,-43.19094441,Station Railing
OLY-CTR-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Central Station,-22.90501773,-43.19094441,Station eletronic kiosk
OLY-CTR-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Central Station,-22.90501773,-43.19094441,Station Seat
OLY-VCV-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Vicente de Carvalho Station,-22.85404892,-43.31313551,Station Railing
OLY-VCV-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Vicente de Carvalho Station,-22.85404892,-43.31313551,Station eletronic kiosk
OLY-VCV-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Vicente de Carvalho Station,-22.85404892,-43.31313551,Station Seat
OLY-CAV-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Cardeal Arcoverde Station,-22.96461767,-43.18093237,Station Railing
OLY-CAV-2-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Cardeal Arcoverde Station,-22.96461767,-43.18093237,Station eletronic kiosk
OLY-CAV-3-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Cardeal Arcoverde Station,-22.96461767,-43.18093237,Station Seat
OLY-SUBL1-1-D-072816,DNA,swab,AMIES,Apr-17,Olympiome,Subway line 1,-22.98338732,-43.19646657,Car Ceiling Rail
