,building_setting,car_location,car_or_station,city,humidity,light_type,line,place_type,subway_station_autofill,subway_station_surface,surface_material,temperature,temperature_type,traffic,weather
CDC-16-SAC-1,urban,,subway_station,sacramento,,natural_light,Blue,sub_line,Cathedral Square (OB),Kiosk,Metal,,,,sunny
CDC-16-SAC-2,urban,,subway_station,sacramento,,natural_light,Blue,sub_line,Cathedral Square (OB),Bench,Metal,,,,sunny
CDC-16-SAC-3,urban,,subway_station,sacramento,,natural_light,Blue,sub_line,Cathedral Square (IB),Kiosk,Metal,,,,sunny
CDC-16-SAC-4,urban,,subway_station,sacramento,,natural_light,Blue,sub_line,Cathedral Square (IB),Rails,Metal,,,,sunny
CDC-16-SAC-5,urban,,subway_station,sacramento,,natural_light,Blue,sub_line,St. Rose Of Lima Park (OB),Kiosk,Metal,,,,sunny
CDC-16-SAC-6,urban,,subway_station,sacramento,,natural_light,Blue,sub_line,St. Rose Of Lima Park (OB),Bench,Metal,,,,sunny
CDC-16-SAC-7,urban,,subway_station,sacramento,,natural_light,Blue,sub_line,St. Rose Of Lima Park (IB),Kiosk,Metal,,,,sunny
CDC-16-SAC-8,urban,,subway_car,sacramento,,natural_light,Blue,sub_line,St. Rose Of Lima Park (IB),Bench,Metal,,,,sunny
CDC-16-SAC-9,urban,,subway_station,sacramento,,natural_light,All,sub_line,8th & Capitol,Kiosk,Metal,,,,sunny
CDC-16-SAC-10,urban,,subway_station,sacramento,,natural_light,All,sub_line,8th & Capitol,Bench,Metal,,,,sunny
CDC-16-SAC-11,urban,,subway_station,sacramento,,natural_light,All,sub_line,8th & O (OB),Kiosk,Metal,,,,sunny
CDC-16-SAC-12,urban,,subway_station,sacramento,,natural_light,All,sub_line,8th & O (OB),Bench,Wood,,,,sunny
CDC-16-SAC-13,urban,,subway_station,sacramento,,natural_light,All,sub_line,8th & O (IB),Kiosk,Metal,,,,sunny
CDC-16-SAC-14,urban,,subway_station,sacramento,,natural_light,All,sub_line,8th & O (IB),Bench,Metal,,,,sunny
CDC-16-SAC-15,urban,,subway_station,sacramento,,natural_light,All,sub_line,Archives Plaza (OB),Kiosk,Metal,,,,sunny
CDC-16-SAC-16,urban,,subway_station,sacramento,,natural_light,All,sub_line,Archives Plaza (OB),Bench,Stone,,,,sunny
CDC-16-SAC-17,urban,,subway_station,sacramento,,natural_light,All,sub_line,Archives Plaza (IB),Kiosk,Metal,,,,sunny
CDC-16-SAC-18,urban,,subway_station,sacramento,,natural_light,All,sub_line,Archives Plaza (IB),Bench,Wood,,,,sunny
CDC-16-SAC-19,urban,,subway_station,sacramento,,natural_light,All,sub_line,13th Street (IB),Kiosk,Metal,,,,sunny
