,city,city_code,control_type,elevation,location_type,project,sample_type,setting,station,surface,surface_material,traffic
haib17CEM4890_H2NYMCCXY_SL254769,ilorin,OFA,,,,,environmental_microbiome,,,,wood,
haib17CEM4890_H2NYMCCXY_SL254770,ilorin,OFA,,,,,environmental_microbiome,,,,wood,
haib17CEM4890_H2NYMCCXY_SL254771,ilorin,OFA,,,,,environmental_microbiome,,,,rubber,
haib17CEM4890_H2NYMCCXY_SL254772,ilorin,OFA,,,,,environmental_microbiome,,,,metal,
haib17CEM4890_H2NYMCCXY_SL254773,new_york_city,NYC,,,,,environmental_microbiome,,,kiosk,metal,
haib17CEM4890_H2NYMCCXY_SL254774,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254775,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254776,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,nova américa del castilho station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254777,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,saens peña station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254778,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,central station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254779,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,saens peña station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254780,fairbanks,FAI,,,,,environmental_microbiome,,,wood_bench,wood,
haib17CEM4890_H2NYMCCXY_SL254781,ilorin,OFA,,,,,environmental_microbiome,,,,metal,
haib17CEM4890_H2NYMCCXY_SL254782,ilorin,OFA,,,,,environmental_microbiome,,,,wood,
haib17CEM4890_H2NYMCCXY_SL254783,ilorin,OFA,,,,,environmental_microbiome,,,,wood,
haib17CEM4890_H2NYMCCXY_SL254784,ilorin,OFA,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254785,new_york_city,NYC,,,,,environmental_microbiome,,,other,metal,
haib17CEM4890_H2NYMCCXY_SL254786,new_york_city,NYC,,,,,environmental_microbiome,,,kiosk,metal,
haib17CEM4890_H2NYMCCXY_SL254787,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254788,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,nova américa del castilho station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254789,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,saens peña station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254790,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,nova américa del castilho station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254791,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,saens peña station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254792,fairbanks,FAI,,,,,environmental_microbiome,,,wood_pillars,wood,
haib17CEM4890_H2NYMCCXY_SL254793,ilorin,OFA,,,,,environmental_microbiome,,,,wood,
haib17CEM4890_H2NYMCCXY_SL254794,ofa,OFA,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254795,ilorin,OFA,,,,,environmental_microbiome,,,,leather,
haib17CEM4890_H2NYMCCXY_SL254796,new_york_city,NYC,,,,,environmental_microbiome,,,railing,metal,
haib17CEM4890_H2NYMCCXY_SL254797,new_york_city,NYC,,,,,environmental_microbiome,,,railing,metal,
haib17CEM4890_H2NYMCCXY_SL254798,new_york_city,NYC,,,,,environmental_microbiome,,,other,metal,
haib17CEM4890_H2NYMCCXY_SL254799,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254800,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,general osório station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254801,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,saens peña station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254802,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,general osório station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254803,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,saens peña station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254804,fairbanks,FAI,,,,,environmental_microbiome,,,wood_pillars,wood,
haib17CEM4890_H2NYMCCXY_SL254805,ilorin,OFA,,,,,environmental_microbiome,,,,tile,
haib17CEM4890_H2NYMCCXY_SL254806,ilorin,OFA,,,,,environmental_microbiome,,,,other,
haib17CEM4890_H2NYMCCXY_SL254807,ilorin,OFA,,,,,environmental_microbiome,,,,plastic,
haib17CEM4890_H2NYMCCXY_SL254808,new_york_city,NYC,,,,,environmental_microbiome,,,turnstile,metal,
haib17CEM4890_H2NYMCCXY_SL254809,new_york_city,NYC,,,,,environmental_microbiome,,,railing,metal,
